Mag,Mean,2.5 %ile,97.5 %ile,Median,Mode,10 yr Probability,10 yr Supra-Seis Prob,Primary Aftershocks Mean
2.5,943.3134,545.0,2682.0,722.0,641.0,1.0,0.0525,419.1425
2.6,749.3044,429.0,2132.0,574.0,516.0,1.0,0.0525,332.9486
2.7,595.13385,338.0,1691.0,456.0,387.0,1.0,0.0525,264.45593
2.8,472.73892,265.0,1347.0,363.0,316.0,1.0,0.0525,210.06079
2.9,375.51175,208.0,1072.0,289.0,260.0,1.0,0.0525,166.84036
3.0,298.26935,163.0,854.0,230.0,205.0,1.0,0.0525,132.49924
3.1,236.96896,127.0,677.0,183.0,164.0,1.0,0.0525,105.27819
3.2,188.20753,99.0,539.0,145.0,125.0,1.0,0.0525,83.6058
3.3,149.49979,77.0,428.0,116.0,103.0,1.0,0.0525,66.40749
3.4,118.74336,59.0,341.0,92.0,78.0,1.0,0.0525,52.7355
3.5,94.32574,45.0,272.0,73.0,62.0,1.0,0.0525,41.87278
3.6,74.91067,35.0,216.0,58.0,52.0,1.0,0.0525,33.25425
3.7,59.49374,26.0,173.0,46.0,40.0,1.0,0.0525,26.40944
3.8,47.24525,20.0,138.0,37.0,31.0,1.0,0.0525,20.97651
3.9,37.49786,15.0,110.0,29.0,25.0,1.0,0.0525,16.64709
4.0,29.77691,11.0,88.0,23.0,20.0,1.0,0.0525,13.21703
4.1,23.63784,8.0,71.0,18.0,15.0,0.99999,0.0525,10.49382
4.2,18.77023,6.0,57.0,15.0,12.0,0.99993,0.0525,8.32889
4.3,14.90052,4.0,46.0,12.0,10.0,0.99981,0.0525,6.61441
4.4,11.81703,3.0,37.0,9.0,7.0,0.99893,0.0525,5.24844
4.5,9.37503,2.0,30.0,7.0,6.0,0.99597,0.0525,4.16155
4.6,7.43957,1.0,24.0,6.0,4.0,0.98817,0.0525,3.30183
4.7,5.90316,0.0,20.0,4.0,3.0,0.97179,0.0525,2.61634
4.8,4.68272,0.0,16.0,3.0,2.0,0.94338,0.0525,2.07378
4.9,3.70912,0.0,14.0,3.0,2.0,0.90089,0.0525,1.64143
5.0,2.93117,0.0,11.0,2.0,1.0,0.84498,0.0525,1.29516
5.1,2.3164,0.0,9.0,2.0,1.0,0.77576,0.0525,1.02155
5.2,1.82817,0.0,8.0,1.0,0.0,0.6989,0.0525,0.80608
5.3,1.43906,0.0,7.0,1.0,0.0,0.61747,0.0525,0.6331
5.4,1.13422,0.0,6.0,1.0,0.0,0.53719,0.0525,0.49655
5.5,0.891,0.0,5.0,0.0,0.0,0.46049,0.0525,0.38897
5.6,0.6973,0.0,4.0,0.0,0.0,0.38924,0.0525,0.30305
5.7,0.54221,0.0,3.0,0.0,0.0,0.32358,0.0525,0.23371
5.8,0.42009,0.0,3.0,0.0,0.0,0.26546,0.05249,0.1807
5.9,0.32398,0.0,2.0,0.0,0.0,0.21532,0.05247,0.13806
6.0,0.25562,0.0,2.0,0.0,0.0,0.17642,0.05245,0.10671
6.1,0.18403,0.0,2.0,0.0,0.0,0.13474,0.03458,0.07845
6.2,0.13403,0.0,1.0,0.0,0.0,0.10344,0.02859,0.05753
6.3,0.09908,0.0,1.0,0.0,0.0,0.07899,0.02227,0.04206
6.4,0.07366,0.0,1.0,0.0,0.0,0.06015,0.01842,0.03073
6.5,0.05349,0.0,1.0,0.0,0.0,0.04472,0.01466,0.02202
6.6,0.03928,0.0,1.0,0.0,0.0,0.03388,0.01246,0.01609
6.7,0.0284,0.0,0.0,0.0,0.0,0.02492,0.00986,0.01141
6.8,0.02065,0.0,0.0,0.0,0.0,0.01873,0.00847,0.00813
6.9,0.01398,0.0,0.0,0.0,0.0,0.01316,0.00633,0.00539
7.0,0.01002,0.0,0.0,0.0,0.0,0.00959,0.00529,0.0038
7.1,0.00758,0.0,0.0,0.0,0.0,0.00732,0.00472,0.00268
7.2,0.0056,0.0,0.0,0.0,0.0,0.00539,0.00391,0.00179
7.3,0.00364,0.0,0.0,0.0,0.0,0.00354,0.00288,0.00109
7.4,0.00302,0.0,0.0,0.0,0.0,0.00296,0.00268,8.1E-4
7.5,0.00231,0.0,0.0,0.0,0.0,0.00227,0.00219,5.8E-4
7.6,0.00111,0.0,0.0,0.0,0.0,0.00109,0.00106,3.1E-4
7.7,3.6E-4,0.0,0.0,0.0,0.0,3.6E-4,3.6E-4,8.0E-5
7.8,1.9E-4,0.0,0.0,0.0,0.0,1.9E-4,1.9E-4,4.0E-5
7.9,7.0E-5,0.0,0.0,0.0,0.0,7.0E-5,7.0E-5,1.0E-5
8.0,1.0E-5,0.0,0.0,0.0,0.0,1.0E-5,1.0E-5,0.0
8.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
