Mag,Mean,2.5 %ile,97.5 %ile,Median,Mode,1 mo Probability,1 mo Supra-Seis Prob,Primary Aftershocks Mean
2.5,3432.577,2198.0,10233.0,2639.0,2475.0,1.0,0.0,1689.5198
2.6,2726.5374,1741.0,8120.0,2097.0,1919.0,1.0,0.0,1342.0293
2.7,2165.8245,1378.0,6462.0,1667.0,1531.0,1.0,0.0,1066.0468
2.8,1720.3512,1090.0,5123.0,1325.0,1207.0,1.0,0.0,846.7644
2.9,1366.552,861.0,4062.0,1053.0,977.0,1.0,0.0,672.61273
3.0,1085.5366,680.0,3228.0,837.0,785.0,1.0,0.0,534.2942
3.1,862.3276,536.0,2565.0,666.0,615.0,1.0,0.0,424.4409
3.2,685.03204,423.0,2036.0,530.0,502.0,1.0,0.0,337.2138
3.3,544.14343,332.0,1618.0,421.0,384.0,1.0,0.0,267.85703
3.4,432.18945,261.0,1290.0,335.0,309.0,1.0,0.0,212.74445
3.5,343.33203,204.0,1022.0,267.0,249.0,1.0,0.0,168.99602
3.6,272.6869,160.0,811.0,212.0,194.0,1.0,0.0,134.24734
3.7,216.56125,125.0,645.0,169.0,159.0,1.0,0.0,106.60811
3.8,171.99316,97.0,513.0,134.0,128.0,1.0,0.0,84.67661
3.9,136.60353,75.0,407.0,107.0,98.0,1.0,0.0,67.24235
4.0,108.49782,58.0,325.0,85.0,77.0,1.0,0.0,53.4214
4.1,86.18393,44.0,260.0,68.0,64.0,1.0,0.0,42.4311
4.2,68.48355,34.0,207.0,54.0,47.0,1.0,0.0,33.71652
4.3,54.39188,26.0,164.0,43.0,39.0,1.0,0.0,26.77935
4.4,43.20791,19.0,130.0,34.0,30.0,1.0,0.0,21.27623
4.5,34.30614,14.0,105.0,27.0,24.0,1.0,0.0,16.89055
4.6,27.25269,11.0,84.0,22.0,19.0,1.0,0.0,13.41498
4.7,21.63442,8.0,66.0,17.0,15.0,1.0,0.0,10.6493
4.8,17.18163,5.0,53.0,14.0,12.0,0.99994,0.0,8.45959
4.9,13.6463,4.0,43.0,11.0,9.0,0.99976,0.0,6.72318
5.0,10.84055,3.0,35.0,8.0,7.0,0.99886,0.0,5.33663
5.1,8.61539,2.0,28.0,7.0,6.0,0.99562,0.0,4.24192
5.2,6.84445,1.0,23.0,5.0,4.0,0.9878,0.0,3.36992
5.3,5.43487,0.0,19.0,4.0,3.0,0.97129,0.0,2.67714
5.4,4.31363,0.0,15.0,3.0,2.0,0.94246,0.0,2.12552
5.5,3.42906,0.0,12.0,3.0,2.0,0.8998,0.0,1.6893
5.6,2.72092,0.0,10.0,2.0,1.0,0.84218,0.0,1.33928
5.7,2.16387,0.0,9.0,1.0,1.0,0.77217,0.0,1.06443
5.8,1.71507,0.0,7.0,1.0,0.0,0.69518,0.0,0.84338
5.9,1.36123,0.0,6.0,1.0,0.0,0.61524,0.0,0.66868
6.0,1.07909,0.0,5.0,1.0,0.0,0.53509,0.0,0.52922
6.1,0.85509,0.0,4.0,0.0,0.0,0.45872,0.0,0.41865
6.2,0.67635,0.0,4.0,0.0,0.0,0.38852,0.0,0.32967
6.3,0.53502,0.0,3.0,0.0,0.0,0.32571,0.0,0.26085
6.4,0.42305,0.0,3.0,0.0,0.0,0.27049,0.0,0.20484
6.5,0.33533,0.0,2.0,0.0,0.0,0.22321,0.0,0.16224
6.6,0.26646,0.0,2.0,0.0,0.0,0.18477,0.0,0.12973
6.7,0.21095,0.0,2.0,0.0,0.0,0.15131,0.0,0.10254
6.8,0.16658,0.0,2.0,0.0,0.0,0.12285,0.0,0.08103
6.9,0.13144,0.0,1.0,0.0,0.0,0.09965,0.0,0.06383
7.0,0.10324,0.0,1.0,0.0,0.0,0.08007,0.0,0.05015
7.1,0.0802,0.0,1.0,0.0,0.0,0.0636,0.0,0.03918
7.2,0.06316,0.0,1.0,0.0,0.0,0.05108,0.0,0.03097
7.3,0.04926,0.0,1.0,0.0,0.0,0.0404,0.0,0.02431
7.4,0.03873,0.0,1.0,0.0,0.0,0.03238,0.0,0.01921
7.5,0.02965,0.0,1.0,0.0,0.0,0.02544,0.0,0.01474
7.6,0.02284,0.0,0.0,0.0,0.0,0.02001,0.0,0.01141
7.7,0.01721,0.0,0.0,0.0,0.0,0.01533,0.0,0.00866
7.8,0.01244,0.0,0.0,0.0,0.0,0.01137,0.0,0.00639
7.9,0.00877,0.0,0.0,0.0,0.0,0.00818,0.0,0.00444
8.0,0.00591,0.0,0.0,0.0,0.0,0.00563,0.0,0.00289
8.1,0.00352,0.0,0.0,0.0,0.0,0.00339,0.0,0.00173
8.2,0.00144,0.0,0.0,0.0,0.0,0.00139,0.0,6.9E-4
8.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
