Time (days),ComCat Data,Simulation Mean,Simulation Median,Simulation Mode,Simulation Minimum,Simulation Maximum,2.5 %-ile,16 %-ile,84 %-ile,97.5 %-ile
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.3080622,2.0,3.47507,3.0,2.0,0.0,80.0,0.0,1.0,5.0,9.0
0.6161244,2.0,4.26744,4.0,3.0,0.0,119.0,0.0,2.0,6.0,11.0
0.92418665,2.0,4.77209,4.0,3.0,0.0,134.0,1.0,2.0,7.0,12.0
1.2322488,2.0,5.14937,4.0,4.0,0.0,145.0,1.0,2.0,7.0,13.0
1.5403111,2.0,5.45252,5.0,4.0,0.0,152.0,1.0,2.0,8.0,14.0
1.8483733,2.0,5.71129,5.0,4.0,0.0,159.0,1.0,3.0,8.0,15.0
2.1564355,2.0,5.93221,5.0,4.0,0.0,164.0,1.0,3.0,8.0,16.0
2.4644976,2.0,6.13222,5.0,4.0,0.0,168.0,1.0,3.0,9.0,16.0
2.77256,2.0,6.31093,5.0,4.0,0.0,173.0,1.0,3.0,9.0,17.0
3.0806222,2.0,6.47227,5.0,5.0,0.0,175.0,1.0,3.0,9.0,18.0
3.3886843,2.0,6.61905,6.0,5.0,0.0,176.0,1.0,3.0,9.0,18.0
3.6967466,2.0,6.75534,6.0,5.0,0.0,179.0,1.0,3.0,9.0,19.0
4.004809,2.0,6.88139,6.0,5.0,0.0,181.0,1.0,3.0,10.0,19.0
4.312871,2.0,6.99875,6.0,5.0,0.0,181.0,1.0,3.0,10.0,19.0
4.620933,2.0,7.10741,6.0,5.0,0.0,187.0,1.0,3.0,10.0,20.0
4.928995,2.0,7.21056,6.0,5.0,0.0,188.0,1.0,3.0,10.0,20.0
5.2370577,2.0,7.30902,6.0,5.0,0.0,190.0,1.0,3.0,10.0,20.0
5.54512,2.0,7.40021,6.0,5.0,0.0,191.0,1.0,3.0,10.0,21.0
5.853182,2.0,7.48855,6.0,5.0,0.0,194.0,1.0,3.0,10.0,21.0
6.1612444,2.0,7.57222,6.0,5.0,0.0,195.0,1.0,3.0,10.0,21.0
6.4693065,2.0,7.65426,6.0,5.0,0.0,195.0,2.0,4.0,10.0,22.0
6.7773685,2.0,7.73156,6.0,5.0,0.0,195.0,2.0,4.0,11.0,22.0
7.0854306,2.0,7.80837,6.0,5.0,0.0,195.0,2.0,4.0,11.0,22.0
7.393493,2.0,7.88065,6.0,5.0,0.0,196.0,2.0,4.0,11.0,22.0
7.7015553,2.0,7.95187,7.0,5.0,0.0,197.0,2.0,4.0,11.0,23.0
