Mag,Mean,2.5 %ile,97.5 %ile,Median,Mode,1 d Probability,1 d Supra-Seis Prob,Primary Aftershocks Mean
2.5,2283.771,2118.0,2750.0,2245.0,2250.0,1.0,0.16674,2050.2432
2.6,1814.0292,1675.0,2187.0,1783.0,1783.0,1.0,0.16674,1628.5116
2.7,1440.8438,1323.0,1739.0,1417.0,1409.0,1.0,0.16674,1293.5082
2.8,1144.4414,1044.0,1383.0,1126.0,1115.0,1.0,0.16674,1027.431
2.9,909.01245,823.0,1100.0,895.0,882.0,1.0,0.16674,816.0523
3.0,722.07745,649.0,876.0,711.0,707.0,1.0,0.16674,648.25494
3.1,573.4899,511.0,697.0,565.0,558.0,1.0,0.16674,514.8655
3.2,455.509,401.0,555.0,449.0,446.0,1.0,0.16674,408.9488
3.3,361.73227,315.0,443.0,356.0,356.0,1.0,0.16674,324.74808
3.4,287.31482,247.0,353.0,283.0,279.0,1.0,0.16674,257.94302
3.5,228.16084,193.0,283.0,225.0,223.0,1.0,0.16674,204.83742
3.6,181.197,150.0,226.0,179.0,176.0,1.0,0.16674,162.676
3.7,143.88876,117.0,182.0,142.0,140.0,1.0,0.16674,129.18065
3.8,114.26291,91.0,146.0,113.0,111.0,1.0,0.16674,102.58618
3.9,90.72261,70.0,118.0,90.0,89.0,1.0,0.16674,81.45561
4.0,72.02299,54.0,95.0,71.0,71.0,1.0,0.16674,64.66464
4.1,57.14686,41.0,77.0,56.0,56.0,1.0,0.16674,51.30801
4.2,45.37637,31.0,63.0,45.0,45.0,1.0,0.16674,40.74126
4.3,35.99905,24.0,51.0,36.0,34.0,1.0,0.16674,32.32004
4.4,28.54386,18.0,42.0,28.0,27.0,1.0,0.16674,25.62922
4.5,22.63242,13.0,34.0,22.0,23.0,1.0,0.16674,20.31811
4.6,17.92592,10.0,28.0,18.0,17.0,1.0,0.16674,16.0942
4.7,14.19854,7.0,23.0,14.0,13.0,1.0,0.16674,12.74859
4.8,11.22744,5.0,19.0,11.0,10.0,0.99998,0.16674,10.08193
4.9,8.86915,3.0,16.0,9.0,8.0,0.99976,0.16674,7.96727
5.0,6.99541,2.0,13.0,7.0,6.0,0.99867,0.16674,6.28352
5.1,5.5138,1.0,11.0,5.0,5.0,0.99486,0.16674,4.9523
5.2,4.33537,1.0,9.0,4.0,4.0,0.984,0.16674,3.89397
5.3,3.40171,0.0,8.0,3.0,3.0,0.96119,0.16674,3.05486
5.4,2.65905,0.0,6.0,2.0,2.0,0.92185,0.16674,2.38775
5.5,2.06772,0.0,5.0,2.0,1.0,0.863,0.16674,1.85686
5.6,1.60155,0.0,5.0,1.0,1.0,0.78661,0.16674,1.43808
5.7,1.2322,0.0,4.0,1.0,1.0,0.69534,0.16674,1.10641
5.8,0.93909,0.0,3.0,1.0,0.0,0.59746,0.16673,0.84356
5.9,0.7056,0.0,3.0,0.0,0.0,0.49647,0.16672,0.63362
6.0,0.53574,0.0,2.0,0.0,0.0,0.40758,0.16666,0.48062
6.1,0.38955,0.0,2.0,0.0,0.0,0.31788,0.14687,0.35072
6.2,0.25285,0.0,2.0,0.0,0.0,0.22052,0.11215,0.22759
6.3,0.19165,0.0,1.0,0.0,0.0,0.17281,0.09621,0.17313
6.4,0.14299,0.0,1.0,0.0,0.0,0.13214,0.0833,0.12905
6.5,0.1115,0.0,1.0,0.0,0.0,0.10449,0.07386,0.10061
6.6,0.09525,0.0,1.0,0.0,0.0,0.09065,0.06893,0.08655
6.7,0.07898,0.0,1.0,0.0,0.0,0.07565,0.06029,0.07215
6.8,0.06528,0.0,1.0,0.0,0.0,0.06325,0.05271,0.05974
6.9,0.05164,0.0,1.0,0.0,0.0,0.0506,0.04393,0.04739
7.0,0.03994,0.0,1.0,0.0,0.0,0.03948,0.03521,0.03661
7.1,0.03273,0.0,1.0,0.0,0.0,0.03249,0.02996,0.03006
7.2,0.02444,0.0,0.0,0.0,0.0,0.02434,0.02291,0.0223
7.3,0.01695,0.0,0.0,0.0,0.0,0.0169,0.01627,0.0155
7.4,0.01516,0.0,0.0,0.0,0.0,0.01512,0.01488,0.01384
7.5,0.01154,0.0,0.0,0.0,0.0,0.01151,0.01143,0.0105
7.6,0.00605,0.0,0.0,0.0,0.0,0.00603,0.00599,0.00553
7.7,0.00195,0.0,0.0,0.0,0.0,0.00195,0.00194,0.00172
7.8,0.00128,0.0,0.0,0.0,0.0,0.00128,0.00128,0.00111
7.9,8.5E-4,0.0,0.0,0.0,0.0,8.5E-4,8.5E-4,7.5E-4
8.0,2.6E-4,0.0,0.0,0.0,0.0,2.6E-4,2.6E-4,2.1E-4
8.1,6.0E-5,0.0,0.0,0.0,0.0,6.0E-5,6.0E-5,4.0E-5
8.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
