Time (days),ComCat Data,Simulation Mean,Simulation Median,Simulation Mode,Simulation Minimum,Simulation Maximum,2.5 %-ile,16 %-ile,84 %-ile,97.5 %-ile
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.29402846,0.0,1.26216,1.0,1.0,0.0,170.0,0.0,0.0,2.0,4.0
0.5880569,1.0,2.53274,2.0,2.0,0.0,231.0,0.0,1.0,4.0,7.0
0.8820853,1.0,3.78009,3.0,3.0,0.0,270.0,0.0,1.0,6.0,10.0
1.1761138,1.0,4.99766,4.0,4.0,0.0,326.0,1.0,2.0,7.0,12.0
1.4701422,1.0,6.18691,5.0,5.0,0.0,353.0,1.0,3.0,9.0,14.0
1.7641706,1.0,7.34765,7.0,6.0,0.0,386.0,2.0,4.0,10.0,16.0
2.0581992,2.0,8.48278,8.0,7.0,0.0,401.0,2.0,5.0,11.0,19.0
2.3522277,3.0,9.56968,9.0,8.0,0.0,419.0,3.0,5.0,13.0,21.0
2.646256,4.0,10.63118,10.0,9.0,0.0,440.0,3.0,6.0,14.0,23.0
2.9402845,5.0,11.65977,10.0,10.0,0.0,450.0,4.0,7.0,15.0,24.0
3.234313,7.0,12.66201,11.0,10.0,0.0,462.0,5.0,8.0,16.0,26.0
3.5283413,7.0,13.64129,12.0,11.0,0.0,473.0,5.0,8.0,18.0,28.0
3.8223698,9.0,14.6093,13.0,12.0,0.0,479.0,6.0,9.0,19.0,30.0
4.1163983,10.0,15.54729,14.0,13.0,0.0,485.0,6.0,10.0,20.0,32.0
4.4104266,10.0,16.46022,15.0,14.0,1.0,494.0,7.0,10.0,21.0,33.0
4.7044554,11.0,17.34544,16.0,14.0,1.0,509.0,7.0,11.0,22.0,35.0
4.9984837,12.0,18.20774,16.0,15.0,2.0,516.0,8.0,12.0,23.0,37.0
5.292512,13.0,19.05841,17.0,16.0,2.0,524.0,8.0,12.0,24.0,38.0
5.5865407,13.0,19.88979,18.0,16.0,2.0,537.0,9.0,13.0,25.0,40.0
