Time (days),ComCat Data,Simulation Mean,Simulation Median,Simulation Mode,Simulation Minimum,Simulation Maximum,2.5 %-ile,16 %-ile,84 %-ile,97.5 %-ile
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.29402846,6.0,12.64158,12.0,11.0,0.0,1879.0,5.0,8.0,16.0,23.0
0.5880569,17.0,25.39578,23.0,22.0,5.0,2583.0,13.0,18.0,30.0,46.0
0.8820853,25.0,37.90251,34.0,33.0,10.0,2931.0,22.0,28.0,43.0,69.0
1.1761138,34.0,50.07083,45.0,44.0,17.0,3209.0,30.0,37.0,56.0,91.0
1.4701422,44.0,61.91773,56.0,54.0,25.0,3423.0,39.0,47.0,69.0,114.0
1.7641706,48.0,73.52215,66.0,65.0,30.0,3568.0,47.0,56.0,81.0,136.0
2.0581992,57.0,84.85007,76.0,73.0,34.0,3686.0,55.0,65.0,93.0,158.0
2.3522277,66.0,95.71188,86.0,83.0,44.0,3781.0,63.0,74.0,105.0,178.0
2.646256,76.0,106.31886,96.0,92.0,51.0,3873.0,71.0,82.0,117.0,198.0
2.9402845,85.0,116.6336,105.0,100.0,55.0,3973.0,79.0,90.0,128.0,215.0
3.234313,97.0,126.65409,114.0,112.0,59.0,4068.0,86.0,99.0,138.0,234.0
3.5283413,107.0,136.48695,123.0,117.0,63.0,4329.0,93.0,106.0,149.0,252.0
3.8223698,117.0,146.11188,131.0,125.0,69.0,4672.0,101.0,114.0,159.0,270.0
4.1163983,130.0,155.47656,140.0,131.0,74.0,4932.0,107.0,122.0,170.0,287.0
4.4104266,133.0,164.57748,148.0,139.0,79.0,5105.0,114.0,129.0,179.0,304.0
4.7044554,143.0,173.47768,156.0,149.0,84.0,5277.0,121.0,136.0,189.0,320.0
4.9984837,154.0,182.12616,164.0,156.0,91.0,5382.0,128.0,143.0,199.0,336.0
5.292512,167.0,190.65121,171.0,164.0,98.0,5487.0,134.0,150.0,208.0,351.0
5.5865407,171.0,198.99635,179.0,171.0,110.0,5604.0,140.0,157.0,217.0,367.0
5.880569,176.0,207.18135,186.0,173.0,115.0,5686.0,146.0,164.0,226.0,381.0
