Magnitude,ComCat Data,Simulation Mean,Simulation Median,Simulation Mode,Simulation Minimum,Simulation Maximum,2.5 %-ile,16 %-ile,84 %-ile,97.5 %-ile
2.55,137.0,237.87827,213.0,198.0,128.0,3192.0,166.0,185.0,267.0,471.0
2.65,102.0,188.90363,169.0,159.0,100.0,2548.0,130.0,147.0,213.0,377.0
2.75,89.0,150.06197,135.0,128.0,71.0,1980.0,102.0,116.0,169.0,298.0
2.85,52.0,119.20177,107.0,101.0,52.0,1566.0,79.0,91.0,135.0,236.0
2.95,51.0,94.68612,85.0,79.0,39.0,1300.0,62.0,72.0,108.0,189.0
3.05,39.0,75.2707,68.0,63.0,30.0,991.0,48.0,57.0,86.0,150.0
3.15,20.0,59.75986,54.0,52.0,23.0,786.0,37.0,44.0,69.0,119.0
3.25,26.0,47.47636,43.0,41.0,15.0,655.0,28.0,35.0,55.0,96.0
3.35,23.0,37.69951,34.0,32.0,9.0,513.0,21.0,27.0,45.0,76.0
3.45,22.0,29.94179,27.0,25.0,7.0,388.0,16.0,21.0,36.0,61.0
3.55,16.0,23.7836,22.0,21.0,4.0,301.0,12.0,16.0,29.0,49.0
3.65,13.0,18.87844,17.0,16.0,3.0,259.0,9.0,13.0,23.0,39.0
3.75,4.0,15.00073,14.0,13.0,1.0,199.0,6.0,10.0,19.0,31.0
3.85,5.0,11.92642,11.0,10.0,0.0,141.0,5.0,7.0,15.0,25.0
3.95,4.0,9.4635,9.0,8.0,0.0,135.0,3.0,6.0,13.0,21.0
4.05,0.0,7.53458,7.0,6.0,0.0,119.0,2.0,4.0,10.0,17.0
4.15,1.0,5.98639,5.0,5.0,0.0,90.0,1.0,3.0,8.0,14.0
4.25,1.0,4.74998,4.0,4.0,0.0,67.0,1.0,2.0,7.0,11.0
4.35,2.0,3.77599,3.0,3.0,0.0,58.0,0.0,2.0,6.0,9.0
4.45,1.0,2.99376,3.0,2.0,0.0,37.0,0.0,1.0,5.0,8.0
4.55,0.0,2.37944,2.0,2.0,0.0,31.0,0.0,1.0,4.0,7.0
4.65,1.0,1.88816,2.0,1.0,0.0,29.0,0.0,0.0,3.0,6.0
4.75,1.0,1.50229,1.0,1.0,0.0,26.0,0.0,0.0,3.0,5.0
4.85,0.0,1.19204,1.0,1.0,0.0,20.0,0.0,0.0,2.0,4.0
4.95,0.0,0.94604,1.0,0.0,0.0,15.0,0.0,0.0,2.0,4.0
5.05,1.0,0.75212,1.0,0.0,0.0,12.0,0.0,0.0,2.0,3.0
5.15,0.0,0.59578,0.0,0.0,0.0,14.0,0.0,0.0,1.0,3.0
5.25,0.0,0.47874,0.0,0.0,0.0,9.0,0.0,0.0,1.0,2.0
5.35,0.0,0.37901,0.0,0.0,0.0,9.0,0.0,0.0,1.0,2.0
5.45,0.0,0.29846,0.0,0.0,0.0,8.0,0.0,0.0,1.0,2.0
5.55,0.0,0.23958,0.0,0.0,0.0,7.0,0.0,0.0,1.0,2.0
5.65,0.0,0.18965,0.0,0.0,0.0,5.0,0.0,0.0,1.0,1.0
5.75,0.0,0.15155,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0
5.85,0.0,0.11804,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0
5.95,0.0,0.08555,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0
6.05,0.0,0.07684,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0
6.15,0.0,0.05626,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0
6.25,0.0,0.03429,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0
6.35,0.0,0.02383,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
6.45,0.0,0.01646,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
6.55,0.0,0.01102,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
6.65,0.0,0.00862,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
6.75,0.0,0.00626,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
6.85,0.0,0.00564,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
6.95,0.0,0.00404,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
7.05,0.0,0.00225,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
7.15,0.0,0.00233,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
7.25,0.0,0.00202,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
7.35,0.0,6.6E-4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
7.45,0.0,8.3E-4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
7.55,0.0,0.00135,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
7.65,0.0,0.00105,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
7.75,0.0,2.2E-4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
7.85,0.0,1.9E-4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
7.95,0.0,9.0E-5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
8.05,0.0,2.0E-5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
8.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
