Magnitude,ComCat Data,Simulation Mean,Simulation Median,Simulation Mode,Simulation Minimum,Simulation Maximum,2.5 %-ile,16 %-ile,84 %-ile,97.5 %-ile
2.5,611.0,1156.4241,1027.0,948.0,717.0,15458.0,841.0,911.0,1290.0,2293.0
2.6,474.0,918.5458,816.0,769.0,561.0,12266.0,664.0,723.0,1026.0,1821.0
2.7,372.0,729.64215,649.0,598.0,427.0,9718.0,524.0,573.0,815.0,1450.0
2.8,283.0,579.5802,516.0,477.0,331.0,7738.0,413.0,454.0,649.0,1151.0
2.9,231.0,460.37845,411.0,385.0,258.0,6172.0,325.0,359.0,517.0,915.0
3.0,180.0,365.69232,327.0,306.0,195.0,4872.0,255.0,284.0,412.0,728.0
3.1,141.0,290.42163,260.0,242.0,139.0,3881.0,199.0,224.0,328.0,579.0
3.2,121.0,230.66177,207.0,187.0,112.0,3095.0,156.0,177.0,262.0,460.0
3.3,95.0,183.18541,164.0,155.0,79.0,2440.0,121.0,140.0,209.0,367.0
3.4,72.0,145.4859,131.0,119.0,60.0,1927.0,94.0,110.0,167.0,293.0
3.5,50.0,115.54411,104.0,96.0,48.0,1539.0,73.0,86.0,134.0,233.0
3.6,34.0,91.76051,83.0,78.0,34.0,1238.0,56.0,68.0,107.0,185.0
3.7,21.0,72.88207,66.0,61.0,22.0,979.0,43.0,53.0,86.0,148.0
3.8,17.0,57.88134,52.0,48.0,15.0,780.0,33.0,41.0,69.0,119.0
3.9,12.0,45.95492,41.0,40.0,9.0,639.0,25.0,32.0,55.0,95.0
4.0,8.0,36.49142,33.0,29.0,8.0,511.0,19.0,25.0,45.0,76.0
4.1,8.0,28.95684,26.0,23.0,4.0,412.0,14.0,19.0,36.0,61.0
4.2,7.0,22.97045,21.0,19.0,1.0,322.0,10.0,15.0,29.0,50.0
4.3,6.0,18.22047,16.0,15.0,1.0,256.0,7.0,11.0,24.0,40.0
4.4,4.0,14.44448,13.0,12.0,0.0,198.0,5.0,8.0,19.0,33.0
4.5,3.0,11.45072,10.0,9.0,0.0,163.0,4.0,6.0,16.0,26.0
4.6,3.0,9.07128,8.0,7.0,0.0,134.0,2.0,5.0,13.0,22.0
4.7,2.0,7.18312,6.0,6.0,0.0,105.0,1.0,3.0,10.0,18.0
4.8,1.0,5.68083,5.0,4.0,0.0,79.0,1.0,2.0,8.0,15.0
4.9,1.0,4.48879,4.0,3.0,0.0,67.0,0.0,2.0,7.0,12.0
5.0,1.0,3.54275,3.0,2.0,0.0,55.0,0.0,1.0,6.0,10.0
5.1,0.0,2.79063,2.0,2.0,0.0,47.0,0.0,1.0,5.0,9.0
5.2,0.0,2.19485,2.0,1.0,0.0,42.0,0.0,0.0,4.0,7.0
5.3,0.0,1.71611,1.0,1.0,0.0,34.0,0.0,0.0,3.0,6.0
5.4,0.0,1.3371,1.0,0.0,0.0,29.0,0.0,0.0,3.0,5.0
5.5,0.0,1.03864,1.0,0.0,0.0,21.0,0.0,0.0,2.0,4.0
5.6,0.0,0.79906,0.0,0.0,0.0,16.0,0.0,0.0,2.0,4.0
5.7,0.0,0.60941,0.0,0.0,0.0,15.0,0.0,0.0,1.0,3.0
5.8,0.0,0.45786,0.0,0.0,0.0,14.0,0.0,0.0,1.0,3.0
5.9,0.0,0.33982,0.0,0.0,0.0,13.0,0.0,0.0,1.0,2.0
6.0,0.0,0.25427,0.0,0.0,0.0,11.0,0.0,0.0,1.0,2.0
6.1,0.0,0.17743,0.0,0.0,0.0,8.0,0.0,0.0,0.0,1.0
6.2,0.0,0.12117,0.0,0.0,0.0,8.0,0.0,0.0,0.0,1.0
6.3,0.0,0.08688,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0
6.4,0.0,0.06305,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0
6.5,0.0,0.04659,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0
6.6,0.0,0.03557,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0
6.7,0.0,0.02695,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0
6.8,0.0,0.02069,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
6.9,0.0,0.01505,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
7.0,0.0,0.01101,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
7.1,0.0,0.00876,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
7.2,0.0,0.00643,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
7.3,0.0,0.00441,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
7.4,0.0,0.00375,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
7.5,0.0,0.00292,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
7.6,0.0,0.00157,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
7.7,0.0,5.2E-4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
7.8,0.0,3.0E-4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
7.9,0.0,1.1E-4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
8.0,0.0,2.0E-5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
8.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
