Mag,Mean,2.5 %ile,97.5 %ile,Median,Mode,1 wk Probability,1 wk Supra-Seis Prob,Primary Aftershocks Mean
2.5,255.99191,174.0,473.0,219.0,208.0,1.0,0.019,170.45078
2.6,203.3475,136.0,376.0,175.0,167.0,1.0,0.019,135.39635
2.7,161.5202,106.0,299.0,139.0,132.0,1.0,0.019,107.5424
2.8,128.26318,82.0,238.0,110.0,104.0,1.0,0.019,85.40964
2.9,101.88472,63.0,190.0,88.0,82.0,1.0,0.019,67.85114
3.0,80.92793,49.0,152.0,70.0,65.0,1.0,0.019,53.89369
3.1,64.26879,37.0,122.0,56.0,52.0,1.0,0.019,42.79804
3.2,51.055,28.0,97.0,44.0,42.0,1.0,0.019,33.99665
3.3,40.56416,21.0,78.0,35.0,33.0,1.0,0.019,27.01536
3.4,32.22169,16.0,63.0,28.0,26.0,1.0,0.019,21.45745
3.5,25.59714,12.0,51.0,22.0,20.0,1.0,0.019,17.04347
3.6,20.332,9.0,41.0,18.0,16.0,1.0,0.019,13.53877
3.7,16.1486,6.0,33.0,14.0,13.0,1.0,0.019,10.75167
3.8,12.82239,4.0,27.0,11.0,10.0,0.99992,0.019,8.53917
3.9,10.17857,3.0,22.0,9.0,8.0,0.99962,0.019,6.78291
4.0,8.07932,2.0,18.0,7.0,6.0,0.99775,0.019,5.38183
4.1,6.41254,1.0,15.0,5.0,5.0,0.99206,0.019,4.2712
4.2,5.09181,1.0,13.0,4.0,3.0,0.97925,0.019,3.38949
4.3,4.03918,0.0,11.0,3.0,3.0,0.95463,0.019,2.68956
4.4,3.19947,0.0,9.0,3.0,2.0,0.91458,0.019,2.13076
4.5,2.53573,0.0,8.0,2.0,1.0,0.85979,0.019,1.68817
4.6,2.01099,0.0,6.0,2.0,1.0,0.79251,0.019,1.3391
4.7,1.59523,0.0,6.0,1.0,1.0,0.71676,0.019,1.06424
4.8,1.26193,0.0,5.0,1.0,0.0,0.63321,0.019,0.84188
4.9,0.99856,0.0,4.0,1.0,0.0,0.54973,0.019,0.66672
5.0,0.78715,0.0,4.0,0.0,0.0,0.47038,0.019,0.52572
5.1,0.62242,0.0,3.0,0.0,0.0,0.39801,0.019,0.41648
5.2,0.49003,0.0,3.0,0.0,0.0,0.33204,0.019,0.32729
5.3,0.38252,0.0,2.0,0.0,0.0,0.27255,0.019,0.25511
5.4,0.29974,0.0,2.0,0.0,0.0,0.22269,0.019,0.19998
5.5,0.2332,0.0,2.0,0.0,0.0,0.17893,0.019,0.15536
5.6,0.18075,0.0,1.0,0.0,0.0,0.1434,0.019,0.11995
5.7,0.13987,0.0,1.0,0.0,0.0,0.11374,0.019,0.09284
5.8,0.10633,0.0,1.0,0.0,0.0,0.0887,0.019,0.07062
5.9,0.08053,0.0,1.0,0.0,0.0,0.06872,0.019,0.0533
6.0,0.06204,0.0,1.0,0.0,0.0,0.05372,0.019,0.04101
6.1,0.04552,0.0,1.0,0.0,0.0,0.04017,0.01612,0.03029
6.2,0.03034,0.0,1.0,0.0,0.0,0.02747,0.01287,0.02016
6.3,0.02268,0.0,0.0,0.0,0.0,0.02073,0.0109,0.01494
6.4,0.01712,0.0,0.0,0.0,0.0,0.01568,0.00929,0.01122
6.5,0.01328,0.0,0.0,0.0,0.0,0.01225,0.00806,0.00881
6.6,0.01114,0.0,0.0,0.0,0.0,0.01047,0.00752,0.00758
6.7,0.00932,0.0,0.0,0.0,0.0,0.00878,0.00664,0.00639
6.8,0.00757,0.0,0.0,0.0,0.0,0.00724,0.00578,0.0053
6.9,0.00609,0.0,0.0,0.0,0.0,0.00593,0.00493,0.00433
7.0,0.00472,0.0,0.0,0.0,0.0,0.00461,0.004,0.00338
7.1,0.00396,0.0,0.0,0.0,0.0,0.0039,0.00357,0.00278
7.2,0.00293,0.0,0.0,0.0,0.0,0.00288,0.00274,0.00202
7.3,0.00198,0.0,0.0,0.0,0.0,0.00196,0.00186,0.00128
7.4,0.00174,0.0,0.0,0.0,0.0,0.00172,0.00168,0.00115
7.5,0.00141,0.0,0.0,0.0,0.0,0.0014,0.00138,9.2E-4
7.6,7.2E-4,0.0,0.0,0.0,0.0,7.1E-4,7.0E-4,4.9E-4
7.7,2.9E-4,0.0,0.0,0.0,0.0,2.9E-4,2.8E-4,2.1E-4
7.8,1.2E-4,0.0,0.0,0.0,0.0,1.2E-4,1.2E-4,1.0E-4
7.9,5.0E-5,0.0,0.0,0.0,0.0,5.0E-5,5.0E-5,4.0E-5
8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
