Time (days),ComCat Data,Simulation Mean,Simulation Median,Simulation Mode,Simulation Minimum,Simulation Maximum,2.5 %-ile,16 %-ile,84 %-ile,97.5 %-ile
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2940223,0.0,2.4E-4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0.5880446,0.0,4.8E-4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0.8820669,0.0,7.5E-4,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
1.1760892,0.0,9.7E-4,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
1.4701115,0.0,0.00123,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
1.7641338,0.0,0.00147,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
2.058156,0.0,0.00176,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
2.3521783,0.0,0.00203,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
2.6462007,0.0,0.00222,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
2.940223,0.0,0.00237,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
3.2342453,0.0,0.00254,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
3.5282676,0.0,0.00277,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
3.82229,0.0,0.00293,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
4.116312,0.0,0.0031,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
4.4103346,0.0,0.00326,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
4.7043567,0.0,0.0034,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
4.998379,0.0,0.00353,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
5.2924013,0.0,0.00378,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
5.586424,0.0,0.0039,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
5.880446,0.0,0.00405,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
6.174468,0.0,0.00417,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
6.4684906,0.0,0.00427,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
6.7625127,0.0,0.00439,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
7.0565352,0.0,0.00454,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
7.3505573,0.0,0.0047,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
7.64458,0.0,0.00478,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
7.938602,0.0,0.0049,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
8.232624,0.0,0.0051,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
8.526647,0.0,0.00526,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
8.820669,0.0,0.00535,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
9.114691,0.0,0.0055,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
9.408713,0.0,0.0056,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
9.702736,0.0,0.00572,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
9.996758,0.0,0.00581,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
10.29078,0.0,0.00593,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
10.584803,0.0,0.00601,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
10.878825,0.0,0.00612,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
11.172848,0.0,0.00616,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
11.466869,0.0,0.00626,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
11.760892,0.0,0.00638,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
12.054914,0.0,0.00643,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
12.348936,0.0,0.0065,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
12.642959,0.0,0.00655,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
12.936981,0.0,0.00667,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
13.231004,0.0,0.0068,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
13.525025,0.0,0.00688,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
13.819048,0.0,0.00697,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
14.1130705,0.0,0.00709,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
14.407093,0.0,0.00717,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
14.701115,0.0,0.00732,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
14.995137,0.0,0.00742,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
15.28916,0.0,0.00753,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
15.583181,0.0,0.00761,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
15.877204,0.0,0.00766,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
16.171227,0.0,0.00772,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
16.465248,0.0,0.00779,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
16.759272,0.0,0.00785,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
17.053293,0.0,0.00787,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
17.347315,0.0,0.00796,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
17.641338,0.0,0.00798,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
17.93536,0.0,0.00809,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
18.229382,0.0,0.00816,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
18.523405,0.0,0.00819,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
18.817427,0.0,0.00825,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
19.11145,0.0,0.00835,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
19.405472,0.0,0.00842,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
19.699493,0.0,0.00845,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
19.993517,0.0,0.00855,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
20.287539,0.0,0.0086,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
20.58156,0.0,0.00867,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
20.875584,0.0,0.00873,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
21.169605,0.0,0.00882,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
21.463627,0.0,0.00889,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
21.75765,0.0,0.00896,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
