Time (days),ComCat Data,Simulation Mean,Simulation Median,Simulation Mode,Simulation Minimum,Simulation Maximum,2.5 %-ile,16 %-ile,84 %-ile,97.5 %-ile
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2940223,6.0,13.07578,12.0,11.0,0.0,2282.0,5.0,8.0,16.0,24.0
0.5880446,17.0,26.35432,24.0,23.0,5.0,4453.0,14.0,18.0,31.0,47.0
0.8820669,25.0,39.30922,35.0,34.0,11.0,5627.0,22.0,28.0,44.0,71.0
1.1760892,34.0,51.95811,46.0,46.0,16.0,6235.0,31.0,38.0,58.0,95.0
1.4701115,44.0,64.30904,57.0,54.0,23.0,6665.0,40.0,48.0,71.0,118.0
1.7641338,48.0,76.3741,68.0,63.0,29.0,6985.0,48.0,57.0,83.0,141.0
2.058156,57.0,88.09079,78.0,75.0,37.0,7205.0,57.0,66.0,95.0,164.0
2.3521783,66.0,99.50864,88.0,85.0,42.0,7402.0,65.0,75.0,107.0,186.0
2.6462007,76.0,110.68802,98.0,95.0,50.0,7592.0,73.0,84.0,119.0,205.0
2.940223,85.0,121.4172,107.0,102.0,56.0,7815.0,80.0,92.0,130.0,225.0
3.2342453,97.0,131.91898,116.0,113.0,58.0,7974.0,88.0,101.0,141.0,245.0
3.5282676,107.0,142.19757,125.0,120.0,64.0,8118.0,95.0,109.0,152.0,263.0
3.82229,117.0,152.2714,134.0,131.0,74.0,8262.0,103.0,117.0,163.0,284.0
4.116312,130.0,162.05804,142.0,140.0,76.0,8388.0,110.0,124.0,173.0,301.0
4.4103346,133.0,171.67834,151.0,147.0,88.0,8498.0,117.0,132.0,183.0,318.0
4.7043567,143.0,180.92557,159.0,154.0,93.0,8596.0,123.0,139.0,193.0,336.0
4.998379,154.0,189.9322,167.0,162.0,97.0,8657.0,130.0,146.0,203.0,353.0
5.2924013,167.0,198.91531,174.0,170.0,101.0,8744.0,137.0,153.0,212.0,370.0
5.586424,171.0,207.63712,182.0,176.0,106.0,8816.0,143.0,160.0,222.0,387.0
5.880446,176.0,216.18617,189.0,180.0,112.0,8896.0,149.0,167.0,231.0,402.0
6.174468,179.0,224.47984,197.0,188.0,118.0,8980.0,155.0,173.0,240.0,417.0
6.4684906,189.0,232.57236,204.0,195.0,122.0,9042.0,161.0,180.0,249.0,432.0
6.7625127,193.0,240.57747,211.0,205.0,124.0,9112.0,167.0,186.0,257.0,448.0
7.0565352,197.0,248.48029,217.0,209.0,129.0,9182.0,173.0,192.0,266.0,462.0
