Mag,Mean,2.5 %ile,97.5 %ile,Median,Mode,1 wk Probability,1 wk Supra-Seis Prob,Primary Aftershocks Mean
2.5,286.87582,174.0,630.0,220.0,205.0,1.0,0.0,170.41557
2.6,227.83311,136.0,501.0,175.0,165.0,1.0,0.0,135.33778
2.7,181.00385,106.0,399.0,139.0,130.0,1.0,0.0,107.50727
2.8,143.81142,82.0,318.0,111.0,106.0,1.0,0.0,85.41433
2.9,114.24893,63.0,254.0,88.0,83.0,1.0,0.0,67.86751
3.0,90.75193,49.0,202.0,70.0,69.0,1.0,0.0,53.89803
3.1,72.0903,37.0,161.0,56.0,54.0,1.0,0.0,42.81981
3.2,57.25088,28.0,128.0,44.0,40.0,1.0,0.0,34.00254
3.3,45.46656,21.0,103.0,35.0,33.0,1.0,0.0,26.99327
3.4,36.12494,16.0,82.0,28.0,26.0,1.0,0.0,21.44485
3.5,28.69172,12.0,66.0,22.0,20.0,1.0,0.0,17.03361
3.6,22.79133,9.0,53.0,18.0,16.0,1.0,0.0,13.52793
3.7,18.10217,6.0,43.0,14.0,13.0,1.0,0.0,10.74011
3.8,14.36761,4.0,34.0,11.0,10.0,0.99988,0.0,8.5207
3.9,11.41646,3.0,28.0,9.0,7.0,0.99931,0.0,6.76625
4.0,9.06685,2.0,23.0,7.0,6.0,0.99727,0.0,5.37368
4.1,7.19556,1.0,19.0,5.0,4.0,0.99138,0.0,4.26396
4.2,5.71795,1.0,15.0,4.0,3.0,0.97855,0.0,3.3869
4.3,4.5424,0.0,13.0,3.0,3.0,0.95472,0.0,2.69159
4.4,3.60849,0.0,10.0,3.0,2.0,0.91641,0.0,2.13685
4.5,2.86771,0.0,9.0,2.0,1.0,0.86159,0.0,1.69805
4.6,2.28112,0.0,7.0,2.0,1.0,0.79579,0.0,1.35118
4.7,1.8163,0.0,6.0,1.0,1.0,0.72054,0.0,1.07698
4.8,1.44385,0.0,5.0,1.0,0.0,0.63903,0.0,0.8557
4.9,1.14409,0.0,5.0,1.0,0.0,0.55691,0.0,0.67789
5.0,0.91003,0.0,4.0,0.0,0.0,0.47997,0.0,0.53875
5.1,0.72166,0.0,3.0,0.0,0.0,0.406,0.0,0.4263
5.2,0.57231,0.0,3.0,0.0,0.0,0.34134,0.0,0.3385
5.3,0.45418,0.0,3.0,0.0,0.0,0.284,0.0,0.26802
5.4,0.3599,0.0,2.0,0.0,0.0,0.23417,0.0,0.21256
5.5,0.28575,0.0,2.0,0.0,0.0,0.19214,0.0,0.16816
5.6,0.22684,0.0,2.0,0.0,0.0,0.15757,0.0,0.13398
5.7,0.17952,0.0,2.0,0.0,0.0,0.12785,0.0,0.10527
5.8,0.14147,0.0,1.0,0.0,0.0,0.10266,0.0,0.0823
5.9,0.11291,0.0,1.0,0.0,0.0,0.08361,0.0,0.06561
6.0,0.09012,0.0,1.0,0.0,0.0,0.06794,0.0,0.05228
6.1,0.07168,0.0,1.0,0.0,0.0,0.05492,0.0,0.04181
6.2,0.05667,0.0,1.0,0.0,0.0,0.04416,0.0,0.03289
6.3,0.04518,0.0,1.0,0.0,0.0,0.03588,0.0,0.02635
6.4,0.0356,0.0,1.0,0.0,0.0,0.02864,0.0,0.02094
6.5,0.02812,0.0,0.0,0.0,0.0,0.02273,0.0,0.01642
6.6,0.02228,0.0,0.0,0.0,0.0,0.0181,0.0,0.01296
6.7,0.01782,0.0,0.0,0.0,0.0,0.01455,0.0,0.0102
6.8,0.01381,0.0,0.0,0.0,0.0,0.01153,0.0,0.00793
6.9,0.01098,0.0,0.0,0.0,0.0,0.00927,0.0,0.00622
7.0,0.00868,0.0,0.0,0.0,0.0,0.00732,0.0,0.00472
7.1,0.00696,0.0,0.0,0.0,0.0,0.00589,0.0,0.00375
7.2,0.00533,0.0,0.0,0.0,0.0,0.00458,0.0,0.00274
7.3,0.0042,0.0,0.0,0.0,0.0,0.00366,0.0,0.00214
7.4,0.00325,0.0,0.0,0.0,0.0,0.00284,0.0,0.00164
7.5,0.00253,0.0,0.0,0.0,0.0,0.00225,0.0,0.00128
7.6,0.00183,0.0,0.0,0.0,0.0,0.00166,0.0,9.7E-4
7.7,0.00141,0.0,0.0,0.0,0.0,0.00131,0.0,7.2E-4
7.8,0.00119,0.0,0.0,0.0,0.0,0.00112,0.0,6.1E-4
7.9,7.8E-4,0.0,0.0,0.0,0.0,7.5E-4,0.0,4.3E-4
8.0,5.1E-4,0.0,0.0,0.0,0.0,4.9E-4,0.0,2.9E-4
8.1,2.8E-4,0.0,0.0,0.0,0.0,2.8E-4,0.0,1.5E-4
8.2,1.3E-4,0.0,0.0,0.0,0.0,1.3E-4,0.0,1.0E-4
8.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
