Time (days),ComCat Data,Simulation Mean,Simulation Median,Simulation Mode,Simulation Minimum,Simulation Maximum,2.5 %-ile,16 %-ile,84 %-ile,97.5 %-ile
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.29407406,6.0,13.74779,12.0,11.0,0.0,6901.0,5.0,8.0,16.0,24.0
0.5881481,17.0,28.47461,24.0,22.0,4.0,14628.0,14.0,18.0,31.0,49.0
0.88222224,25.0,42.79908,35.0,34.0,9.0,17834.0,22.0,28.0,45.0,74.0
1.1762962,34.0,56.82564,46.0,45.0,14.0,19710.0,31.0,38.0,58.0,102.0
1.4703703,44.0,70.30094,57.0,54.0,21.0,20900.0,40.0,48.0,71.0,129.0
1.7644445,48.0,83.72985,68.0,66.0,29.0,22537.0,48.0,57.0,84.0,156.0
2.0585184,57.0,96.75205,78.0,76.0,38.0,27385.0,57.0,66.0,96.0,183.0
2.3525925,66.0,109.66118,88.0,83.0,46.0,29629.0,65.0,75.0,108.0,211.0
2.6466665,76.0,122.55085,98.0,93.0,51.0,31141.0,73.0,84.0,120.0,239.0
2.9407406,85.0,134.74968,107.0,103.0,59.0,32654.0,80.0,92.0,131.0,265.0
3.234815,97.0,146.61153,116.0,111.0,63.0,33723.0,88.0,101.0,142.0,295.0
3.528889,107.0,158.27325,125.0,121.0,68.0,34746.0,95.0,109.0,153.0,320.0
3.822963,117.0,169.76724,134.0,130.0,74.0,35705.0,103.0,117.0,164.0,346.0
4.117037,130.0,180.80872,143.0,137.0,82.0,36453.0,110.0,124.0,175.0,372.0
4.411111,133.0,191.60788,151.0,143.0,89.0,37002.0,117.0,132.0,185.0,397.0
4.705185,143.0,202.61223,159.0,155.0,93.0,37935.0,124.0,139.0,195.0,423.0
4.999259,154.0,213.17838,167.0,158.0,98.0,38526.0,130.0,146.0,205.0,450.0
5.293333,167.0,223.56667,175.0,167.0,104.0,39041.0,136.0,153.0,215.0,477.0
5.587407,171.0,233.56729,182.0,170.0,110.0,39604.0,143.0,160.0,225.0,504.0
5.881481,176.0,243.279,190.0,179.0,117.0,40049.0,149.0,167.0,234.0,527.0
6.175555,179.0,252.7453,197.0,186.0,120.0,40517.0,155.0,173.0,243.0,550.0
6.46963,189.0,262.3511,204.0,191.0,123.0,40963.0,161.0,180.0,253.0,573.0
6.763704,193.0,271.77457,211.0,201.0,126.0,41310.0,167.0,186.0,262.0,594.0
7.057778,197.0,281.16565,218.0,210.0,128.0,41686.0,173.0,192.0,270.0,618.0
