Time (days),ComCat Data,Simulation Mean,Simulation Median,Simulation Mode,Simulation Minimum,Simulation Maximum,2.5 %-ile,16 %-ile,84 %-ile,97.5 %-ile
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.3108429,0.0,3.6E-4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0.6216858,0.0,4.5E-4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0.93252873,0.0,4.9E-4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1.2433716,0.0,5.0E-4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1.5542146,0.0,5.2E-4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1.8650575,0.0,5.4E-4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2.1759005,0.0,5.5E-4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2.4867432,0.0,5.7E-4,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
2.7975862,0.0,6.0E-4,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
3.1084292,0.0,6.2E-4,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
3.419272,0.0,6.6E-4,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
3.730115,0.0,6.7E-4,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
4.040958,0.0,6.7E-4,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
4.351801,0.0,6.9E-4,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
4.662644,0.0,6.9E-4,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
4.9734864,0.0,7.0E-4,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
5.2843294,0.0,7.1E-4,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
5.5951724,0.0,7.1E-4,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
5.9060154,0.0,7.3E-4,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
6.2168584,0.0,7.3E-4,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
6.5277014,0.0,7.5E-4,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
6.838544,0.0,7.5E-4,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
7.149387,0.0,7.5E-4,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
7.46023,0.0,7.6E-4,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
7.771073,0.0,7.6E-4,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
8.081916,0.0,7.6E-4,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
8.392758,0.0,7.8E-4,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
8.703602,0.0,7.9E-4,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
9.014444,0.0,7.9E-4,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
9.325288,0.0,8.0E-4,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
9.63613,0.0,8.0E-4,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
9.946973,0.0,8.0E-4,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
10.257816,0.0,8.1E-4,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
10.568659,0.0,8.2E-4,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
10.879502,0.0,8.2E-4,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
11.190345,0.0,8.3E-4,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
11.501188,0.0,8.3E-4,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
11.812031,0.0,8.3E-4,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
12.122873,0.0,8.3E-4,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
12.433717,0.0,8.3E-4,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
12.744559,0.0,8.3E-4,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
13.055403,0.0,8.3E-4,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
13.366245,0.0,8.5E-4,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
13.677088,0.0,8.5E-4,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
13.987931,0.0,8.7E-4,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
14.298774,0.0,8.8E-4,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
14.609617,0.0,8.9E-4,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
14.92046,0.0,9.0E-4,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
15.231303,0.0,9.0E-4,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
15.542146,0.0,9.1E-4,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
15.852988,0.0,9.1E-4,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
16.163832,0.0,9.2E-4,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
16.474674,0.0,9.2E-4,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
16.785517,0.0,9.2E-4,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
17.096361,0.0,9.2E-4,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
17.407204,0.0,9.3E-4,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
17.718046,0.0,9.3E-4,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
18.028889,0.0,9.3E-4,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
18.339731,0.0,9.3E-4,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
18.650576,0.0,9.3E-4,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
18.961418,0.0,9.3E-4,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
19.27226,0.0,9.3E-4,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
19.583103,0.0,9.3E-4,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
19.893946,0.0,9.3E-4,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
20.20479,0.0,9.3E-4,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
20.515633,0.0,9.3E-4,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
20.826475,0.0,9.3E-4,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
21.137318,0.0,9.4E-4,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
21.448162,0.0,9.4E-4,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
21.759005,0.0,9.4E-4,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
22.069847,0.0,9.4E-4,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
22.38069,0.0,9.6E-4,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
22.691532,0.0,9.6E-4,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
23.002377,0.0,9.6E-4,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
23.31322,0.0,9.6E-4,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
23.624062,0.0,9.6E-4,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
23.934904,0.0,9.8E-4,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
24.245747,0.0,9.8E-4,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
24.556591,0.0,9.8E-4,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
24.867434,0.0,9.8E-4,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
25.178276,0.0,9.8E-4,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
25.489119,0.0,9.8E-4,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
25.799961,0.0,9.8E-4,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
26.110806,0.0,9.9E-4,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
26.421648,0.0,9.9E-4,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
26.73249,0.0,9.9E-4,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
27.043333,0.0,0.001,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
27.354176,0.0,0.001,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
27.66502,0.0,0.001,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
27.975863,0.0,0.00101,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
28.286705,0.0,0.00102,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
28.597548,0.0,0.00102,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
28.908392,0.0,0.00102,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
29.219234,0.0,0.00102,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
29.530077,0.0,0.00103,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
29.84092,0.0,0.00105,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
30.151762,0.0,0.00105,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
30.462606,0.0,0.00105,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
30.773449,0.0,0.00105,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
31.084291,0.0,0.00105,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
31.395134,0.0,0.00105,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
31.705976,0.0,0.00105,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
32.01682,0.0,0.00105,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
32.327663,0.0,0.00105,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
32.638508,0.0,0.00105,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
32.94935,0.0,0.00105,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
33.260193,0.0,0.00105,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
33.571033,0.0,0.00105,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
33.881878,0.0,0.00105,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
34.192722,0.0,0.00105,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
34.503563,0.0,0.00105,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
34.814407,0.0,0.00105,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
35.125248,0.0,0.00105,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
35.436092,0.0,0.00105,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
