Percentile,1 d,1 wk,1 mo
p0.0,1092.0,1600.0,1967.0
p1.0,1182.0,1721.0,2146.0
p2.0,1197.0,1744.0,2178.0
p3.0,1207.0,1759.0,2199.0
p4.0,1215.0,1771.0,2215.0
p5.0,1222.0,1782.0,2229.0
p6.0,1227.0,1791.0,2241.0
p7.0,1232.0,1799.0,2252.0
p8.0,1237.0,1806.0,2263.0
p9.0,1241.0,1813.0,2273.0
p10.0,1245.0,1820.0,2282.0
p11.0,1248.0,1825.0,2290.0
p12.0,1252.0,1831.0,2298.0
p13.0,1255.0,1837.0,2306.0
p14.0,1258.0,1842.0,2314.0
p15.0,1261.0,1847.0,2321.0
p16.0,1264.0,1853.0,2328.0
p17.0,1267.0,1858.0,2335.0
p18.0,1269.0,1862.0,2342.0
p19.0,1272.0,1867.0,2349.0
p20.0,1275.0,1872.0,2356.0
p21.0,1277.0,1876.0,2363.0
p22.0,1280.0,1881.0,2369.0
p23.0,1282.0,1885.0,2376.0
p24.0,1285.0,1890.0,2382.0
p25.0,1287.0,1894.0,2389.0
p26.0,1290.0,1898.0,2395.0
p27.0,1292.0,1903.0,2402.0
p28.0,1295.0,1907.0,2408.0
p29.0,1297.0,1912.0,2415.0
p30.0,1300.0,1916.0,2421.0
p31.0,1302.0,1921.0,2427.0
p32.0,1304.0,1925.0,2433.0
p33.0,1307.0,1930.0,2439.33
p34.0,1309.0,1934.0,2446.0
p35.0,1311.0,1938.0,2452.0
p36.0,1314.0,1942.0,2459.0
p37.0,1316.0,1947.0,2466.0
p38.0,1319.0,1951.0,2472.0
p39.0,1321.0,1956.0,2479.0
p40.0,1324.0,1960.0,2486.0
p41.0,1326.0,1965.0,2493.0
p42.0,1329.0,1970.0,2500.0
p43.0,1331.0,1975.0,2507.0
p44.0,1334.0,1979.0,2514.0
p45.0,1336.0,1984.0,2521.0
p46.0,1339.0,1989.0,2528.0
p47.0,1341.0,1994.0,2536.0
p48.0,1344.0,1999.0,2544.0
p49.0,1347.0,2004.0,2551.0
p50.0,1349.0,2009.0,2559.0
p51.0,1352.0,2014.0,2567.0
p52.0,1355.0,2020.0,2575.0
p53.0,1358.0,2025.0,2583.0
p54.0,1361.0,2031.0,2591.54
p55.0,1364.0,2037.0,2600.0
p56.0,1366.0,2042.0,2608.0
p57.0,1369.0,2048.0,2617.0
p58.0,1373.0,2054.0,2626.0
p59.0,1376.0,2060.0,2636.0
p60.0,1379.0,2067.0,2645.0
p61.0,1382.0,2073.0,2655.0
p62.0,1386.0,2080.0,2665.0
p63.0,1389.0,2087.0,2676.0
p64.0,1393.0,2094.0,2687.0
p65.0,1397.0,2101.0,2698.0
p66.0,1400.0,2109.0,2709.0
p67.0,1405.0,2117.0,2721.0
p68.0,1409.0,2125.0,2734.0
p69.0,1413.0,2133.0,2747.0
p70.0,1418.0,2142.0,2761.0
p71.0,1422.0,2152.0,2775.0
p72.0,1427.0,2161.0,2791.0
p73.0,1432.0,2171.0,2806.0
p74.0,1438.0,2181.0,2823.0
p75.0,1443.0,2192.0,2840.0
p76.0,1449.0,2204.0,2858.0
p77.0,1455.0,2216.0,2879.0
p78.0,1461.0,2229.0,2900.0
p79.0,1468.0,2244.0,2922.0
p80.0,1475.0,2260.0,2947.0
p81.0,1482.0,2277.0,2973.81
p82.0,1490.0,2296.0,3005.0
p83.0,1499.0,2316.0,3038.0
p84.0,1509.0,2338.0,3076.0
p85.0,1520.0,2361.0,3117.0
p86.0,1532.0,2388.0,3163.0
p87.0,1546.0,2420.0,3219.0
p88.0,1562.0,2458.0,3281.0
p89.0,1580.0,2503.0,3359.0
p90.0,1602.0,2558.0,3448.0
p91.0,1627.0,2625.0,3558.0
p92.0,1661.0,2708.0,3702.0
p93.0,1707.0,2816.0,3883.0
p94.0,1766.0,2964.0,4120.94
p95.0,1854.0,3181.0,4434.0
p96.0,1988.96,3493.96,4919.0
p97.0,2228.0,3972.97,5513.0
p98.0,2660.0,4649.98,6837.98
p99.0,3563.96,6981.87,9530.89
p100.0,16911.0,31470.0,39550.0
